removal_fraction,remaining_cameras,psr_mean,psr_std,interpretation,region
0.0,2273,0.954258673544329,0.0,HIGH,atlanta
0.1,2045,0.9302968548827788,1.1102230246251565e-16,HIGH,atlanta
0.2,1818,0.9049425834124083,0.0,HIGH,atlanta
0.3,1591,0.8777440338788034,1.1102230246251565e-16,HIGH,atlanta
0.4,1363,0.8478232894637866,0.0,HIGH,atlanta
0.5,1136,0.8132973218245851,0.0,HIGH,atlanta
0.6,909,0.7684930155340844,0.0,HIGH,atlanta
0.7,681,0.6981482831482098,0.0,MODERATE-HIGH,atlanta
0.0,691,0.7817338020049078,0.0,HIGH,richmond
0.1,621,0.7642899513471479,0.0,HIGH,richmond
0.2,552,0.7439510007982576,0.0,HIGH,richmond
0.3,483,0.7186025635689157,0.0,HIGH,richmond
0.4,414,0.6848942813090434,0.0,MODERATE-HIGH,richmond
0.5,345,0.6378878076366358,0.0,MODERATE-HIGH,richmond
0.6,276,0.5721207965668459,0.0,MODERATE-HIGH,richmond
0.7,207,0.48535748128617867,5.551115123125783e-17,MODERATE,richmond
0.0,413,0.681205071504455,0.0,MODERATE-HIGH,memphis
0.1,371,0.6491548977712734,0.0,MODERATE-HIGH,memphis
0.2,330,0.6117678421966352,0.0,MODERATE-HIGH,memphis
0.3,289,0.5686472219718743,0.0,MODERATE-HIGH,memphis
0.4,247,0.5199065684881291,0.0,MODERATE-HIGH,memphis
0.5,206,0.4668725520030885,0.0,MODERATE,memphis
0.6,165,0.4107539532929209,0.0,MODERATE,memphis
0.7,123,0.3526275502774242,0.0,LOW-MODERATE,memphis
0.0,355,0.6844065374802311,0.0,MODERATE-HIGH,charlotte
0.1,319,0.6589773734376213,0.0,MODERATE-HIGH,charlotte
0.2,284,0.6276947011126848,0.0,MODERATE-HIGH,charlotte
0.3,248,0.5889159996296169,0.0,MODERATE-HIGH,charlotte
0.4,213,0.542232326662525,0.0,MODERATE-HIGH,charlotte
0.5,177,0.48745497338107746,0.0,MODERATE,charlotte
0.6,142,0.42660206432210235,0.0,MODERATE,charlotte
0.7,106,0.3617572395654781,0.0,LOW-MODERATE,charlotte
0.0,123,0.41246754617567516,0.0,MODERATE,lehigh_valley
0.1,110,0.3884355838795247,0.0,LOW-MODERATE,lehigh_valley
0.2,98,0.3645016341006087,0.0,LOW-MODERATE,lehigh_valley
0.3,86,0.34037969940026785,0.0,LOW-MODERATE,lehigh_valley
0.4,73,0.3156362719848933,0.0,LOW-MODERATE,lehigh_valley
0.5,61,0.2910378552626206,0.0,LOW,lehigh_valley
0.6,49,0.2659870035795545,0.0,LOW,lehigh_valley
0.7,36,0.23945688180171693,2.7755575615628914e-17,LOW,lehigh_valley
0.0,47,0.23641662992662385,0.0,LOW,maine
0.1,42,0.23027426352324776,0.0,LOW,maine
0.2,37,0.22377665266985333,0.0,LOW,maine
0.3,32,0.21685087291318417,0.0,LOW,maine
0.4,28,0.2101880654011638,2.7755575615628914e-17,LOW,maine
0.5,23,0.20214008360945374,0.0,LOW,maine
0.6,18,0.1932113674570607,0.0,LOW,maine
0.7,14,0.1841523968329679,0.0,LOW,maine
